ts,topic,temp,vib,rpm
1786581720.305,factory/line1/dev02,43.79,0.99,1508.5
1786581720.305,factory/line2/dev01,56.13,2.49,1497.5
1786581720.805,factory/line1/dev01,44.07,0.72,1508.8
1786581720.805,factory/line1/dev02,46.67,1.09,1514.8
1786581720.805,factory/line2/dev01,46.18,0.94,1507.5
1786581721.305,factory/line1/dev01,44.86,0.85,1476.9
1786581721.305,factory/line1/dev02,47.46,0.95,1525.3
1786581721.305,factory/line2/dev01,44.18,0.98,1504.4
1786581721.805,factory/line1/dev01,45.28,0.93,1491.0
1786581721.805,factory/line1/dev02,43.63,0.84,1512.3
1786581721.805,factory/line2/dev01,43.09,0.88,1515.6
1786581722.305,factory/line1/dev01,46.14,1.06,1475.7
1786581722.305,factory/line1/dev02,47.32,0.87,1509.5
1786581722.305,factory/line2/dev01,46.98,0.79,1504.3
1786581722.805,factory/line1/dev01,46.32,0.98,1478.3
1786581722.805,factory/line1/dev02,44.63,0.94,1480.3
1786581722.805,factory/line2/dev01,46.98,1.06,1471.2
1786581723.305,factory/line1/dev01,46.80,1.08,1521.8
1786581723.305,factory/line1/dev02,45.58,0.97,1475.1
1786581723.305,factory/line2/dev01,44.54,1.04,1495.9
1786581723.805,factory/line1/dev01,44.97,0.84,1518.7
1786581723.805,factory/line1/dev02,46.42,0.76,1495.1
1786581723.805,factory/line2/dev01,45.78,1.08,1510.4
1786581724.305,factory/line1/dev01,47.18,0.94,1477.8
1786581724.305,factory/line1/dev02,57.62,2.33,1473.8
1786581724.305,factory/line2/dev01,46.78,0.82,1517.0
1786581724.805,factory/line1/dev01,45.87,0.83,1483.2
1786581724.805,factory/line1/dev02,47.68,0.91,1473.2
1786581724.805,factory/line2/dev01,45.95,1.05,1487.9
1786581725.305,factory/line1/dev01,47.83,0.77,1493.8
1786581725.305,factory/line1/dev02,47.78,1.06,1525.4
1786581725.305,factory/line2/dev01,44.33,0.88,1512.0
1786581725.805,factory/line1/dev01,45.24,0.76,1501.0
1786581725.805,factory/line1/dev02,44.43,1.03,1507.5
1786581725.805,factory/line2/dev01,45.81,0.84,1493.3
1786581726.305,factory/line1/dev01,46.79,0.86,1526.6
1786581726.305,factory/line1/dev02,44.22,1.05,1490.4
1786581726.305,factory/line2/dev01,43.96,0.93,1493.1
1786581726.805,factory/line1/dev01,43.00,0.99,1471.7
1786581726.805,factory/line1/dev02,58.37,2.42,1509.9
1786581726.805,factory/line2/dev01,45.28,0.74,1480.0
1786581727.305,factory/line1/dev01,43.84,0.98,1522.5
1786581727.305,factory/line1/dev02,46.24,0.98,1515.0
1786581727.305,factory/line2/dev01,45.75,0.98,1520.1
1786581727.805,factory/line1/dev01,47.80,0.90,1483.0
1786581727.805,factory/line1/dev02,46.30,1.07,1472.5
1786581727.805,factory/line2/dev01,45.01,1.06,1513.1
1786581728.305,factory/line1/dev01,46.10,0.76,1501.5
1786581728.305,factory/line1/dev02,47.73,0.79,1489.3
1786581728.305,factory/line2/dev01,43.21,0.96,1480.7
1786581728.805,factory/line1/dev01,46.73,0.75,1494.8
1786581728.805,factory/line1/dev02,45.12,0.72,1527.4
1786581728.805,factory/line2/dev01,59.59,2.38,1477.5
1786581729.305,factory/line1/dev01,46.95,1.09,1529.7
1786581729.305,factory/line1/dev02,45.02,1.07,1471.7
1786581729.305,factory/line2/dev01,46.65,0.80,1512.1
1786581729.805,factory/line1/dev01,43.30,0.88,1495.4
1786581729.805,factory/line1/dev02,44.19,1.04,1483.8
1786581729.805,factory/line2/dev01,45.43,0.97,1472.7
1786581730.305,factory/line1/dev01,45.14,0.96,1482.4
1786581730.305,factory/line1/dev02,45.88,1.04,1498.8
1786581730.305,factory/line2/dev01,47.48,0.82,1501.9
1786581730.805,factory/line1/dev01,47.86,0.82,1518.7
1786581730.805,factory/line1/dev02,45.78,0.88,1513.3
1786581730.805,factory/line2/dev01,45.77,0.84,1499.1
1786581731.305,factory/line1/dev01,46.97,1.06,1510.7
1786581731.305,factory/line1/dev02,47.37,0.84,1501.6
1786581731.305,factory/line2/dev01,59.56,2.53,1489.9
1786581731.805,factory/line1/dev01,59.76,2.34,1507.8
1786581731.805,factory/line1/dev02,44.35,1.06,1514.8
1786581731.805,factory/line2/dev01,47.96,0.88,1491.7
1786581732.305,factory/line1/dev01,43.21,0.84,1500.2
1786581732.305,factory/line1/dev02,43.82,1.02,1497.9
1786581732.305,factory/line2/dev01,55.00,2.38,1471.5
1786581732.805,factory/line1/dev01,47.01,0.86,1511.1
1786581732.805,factory/line1/dev02,45.19,0.91,1500.1
1786581732.805,factory/line2/dev01,44.16,0.72,1493.3
1786581733.305,factory/line1/dev01,46.61,0.73,1486.7
1786581733.305,factory/line1/dev02,46.35,0.95,1478.5
1786581733.305,factory/line2/dev01,47.24,0.74,1512.8
1786581733.805,factory/line1/dev01,47.41,0.73,1522.9
1786581733.805,factory/line1/dev02,46.59,0.76,1514.6
1786581733.805,factory/line2/dev01,47.60,1.02,1474.7
1786581734.305,factory/line1/dev01,46.35,0.97,1503.5
1786581734.305,factory/line1/dev02,46.67,0.88,1489.9
1786581734.305,factory/line2/dev01,46.86,1.09,1485.1
1786581734.805,factory/line1/dev01,43.90,0.73,1514.6
1786581734.805,factory/line1/dev02,46.29,0.70,1497.1
1786581734.805,factory/line2/dev01,46.81,0.93,1504.5
1786581735.305,factory/line1/dev01,45.98,0.92,1503.8
1786581735.305,factory/line1/dev02,43.57,0.84,1522.6
1786581735.305,factory/line2/dev01,44.19,1.07,1506.4
1786581735.805,factory/line1/dev01,43.05,0.75,1471.7
1786581735.805,factory/line1/dev02,46.18,1.09,1478.8
1786581735.805,factory/line2/dev01,43.66,0.99,1529.8
1786581736.305,factory/line1/dev01,47.04,0.99,1529.9
1786581736.305,factory/line1/dev02,47.80,0.72,1471.5
1786581736.305,factory/line2/dev01,47.70,0.96,1480.4
1786581736.805,factory/line1/dev01,47.04,0.98,1501.3
1786581736.805,factory/line1/dev02,47.28,0.75,1518.6
1786581736.805,factory/line2/dev01,47.89,0.93,1517.6
1786581737.305,factory/line1/dev01,46.39,0.83,1485.9
1786581737.305,factory/line1/dev02,47.77,1.04,1484.4
1786581737.305,factory/line2/dev01,47.50,0.86,1508.2
1786581737.805,factory/line1/dev01,47.67,0.85,1518.7
1786581737.805,factory/line1/dev02,44.74,0.95,1513.4
1786581737.805,factory/line2/dev01,47.81,0.94,1477.5
1786581738.305,factory/line1/dev01,47.39,0.97,1515.4
1786581738.305,factory/line1/dev02,46.92,0.93,1472.1
1786581738.305,factory/line2/dev01,44.91,1.03,1519.1
1786581738.805,factory/line1/dev01,47.24,1.08,1483.5
1786581738.805,factory/line1/dev02,45.48,0.93,1496.9
1786581738.805,factory/line2/dev01,44.75,0.85,1504.1
1786581739.305,factory/line1/dev01,46.95,0.89,1475.2
1786581739.305,factory/line1/dev02,47.32,0.83,1489.3
1786581739.305,factory/line2/dev01,45.83,0.97,1485.9
1786581739.805,factory/line1/dev01,56.08,2.43,1519.8
1786581739.805,factory/line1/dev02,59.01,2.40,1476.6
1786581739.805,factory/line2/dev01,47.00,0.89,1498.1
1786581740.305,factory/line1/dev01,46.79,1.04,1516.3
1786581740.305,factory/line1/dev02,43.78,1.06,1526.6
1786581740.305,factory/line2/dev01,43.01,0.94,1524.1
1786581740.805,factory/line1/dev01,46.31,0.82,1483.6
1786581740.805,factory/line1/dev02,56.01,2.25,1516.5
1786581740.805,factory/line2/dev01,46.22,0.74,1523.7
1786581741.305,factory/line1/dev01,57.90,2.29,1521.6
1786581741.305,factory/line1/dev02,43.67,0.73,1520.4
1786581741.305,factory/line2/dev01,45.68,1.02,1514.2
1786581741.805,factory/line1/dev01,46.39,0.75,1492.6
1786581741.805,factory/line1/dev02,44.05,0.98,1513.7
1786581741.805,factory/line2/dev01,46.43,0.77,1475.1
1786581742.305,factory/line1/dev01,55.43,2.26,1479.3
1786581742.305,factory/line1/dev02,45.30,0.82,1529.7
1786581742.305,factory/line2/dev01,45.67,0.81,1479.5
1786581742.805,factory/line1/dev01,43.69,1.05,1505.3
1786581742.805,factory/line1/dev02,46.52,0.87,1517.6
1786581742.805,factory/line2/dev01,43.80,0.80,1520.9
1786581743.305,factory/line1/dev01,47.75,0.99,1473.7
1786581743.305,factory/line1/dev02,45.65,0.93,1496.5
1786581743.305,factory/line2/dev01,43.81,0.74,1517.8
1786581743.805,factory/line1/dev01,46.05,1.02,1485.6
1786581743.805,factory/line1/dev02,44.71,0.96,1518.5
1786581743.805,factory/line2/dev01,45.27,0.98,1474.1
1786581744.305,factory/line1/dev01,46.77,0.84,1501.0
1786581744.305,factory/line1/dev02,46.58,1.07,1520.3
1786581744.305,factory/line2/dev01,43.46,0.73,1481.7
1786581744.805,factory/line1/dev01,45.73,0.91,1477.0
1786581744.805,factory/line1/dev02,46.32,1.09,1528.0
1786581744.805,factory/line2/dev01,45.64,1.09,1494.0
1786581745.305,factory/line1/dev01,47.60,0.85,1524.0
1786581745.305,factory/line1/dev02,45.80,0.82,1522.6
1786581745.305,factory/line2/dev01,47.52,0.94,1478.0
1786581745.805,factory/line1/dev01,43.36,1.05,1476.1
1786581745.805,factory/line1/dev02,47.77,0.88,1486.6
1786581745.805,factory/line2/dev01,46.09,0.75,1495.2
1786581746.305,factory/line1/dev01,43.07,1.07,1506.8
1786581746.305,factory/line1/dev02,45.59,0.98,1526.8
1786581746.305,factory/line2/dev01,45.71,1.09,1483.2
1786581746.805,factory/line1/dev01,47.32,0.73,1524.3
1786581746.805,factory/line1/dev02,44.62,0.74,1486.2
1786581746.805,factory/line2/dev01,46.22,0.93,1522.9
1786581747.305,factory/line1/dev01,45.48,1.10,1513.2
1786581747.305,factory/line1/dev02,43.50,0.79,1522.1
1786581747.305,factory/line2/dev01,44.44,0.78,1509.7
1786581747.805,factory/line1/dev01,47.93,1.01,1487.9
1786581747.805,factory/line1/dev02,44.02,0.87,1501.2
1786581747.805,factory/line2/dev01,46.91,0.73,1502.1
1786581748.305,factory/line1/dev01,44.81,1.06,1497.2
1786581748.305,factory/line1/dev02,46.25,0.86,1500.2
1786581748.305,factory/line2/dev01,43.62,0.72,1517.4
1786581748.805,factory/line1/dev01,46.98,0.78,1492.5
1786581748.805,factory/line1/dev02,45.74,1.06,1512.7
1786581748.805,factory/line2/dev01,46.31,0.93,1481.0
1786581749.305,factory/line1/dev01,44.71,0.92,1492.7
1786581749.305,factory/line1/dev02,45.24,0.77,1483.6
1786581749.305,factory/line2/dev01,55.23,2.37,1479.3
1786581749.805,factory/line1/dev01,47.19,0.90,1507.1
1786581749.805,factory/line1/dev02,46.89,0.98,1515.6
1786581749.805,factory/line2/dev01,47.78,0.99,1502.4
1786581750.305,factory/line1/dev01,46.56,1.09,1507.7
1786581750.305,factory/line1/dev02,45.22,1.04,1527.5
1786581750.305,factory/line2/dev01,45.65,1.04,1476.7
1786581750.805,factory/line1/dev01,43.57,1.07,1520.6
1786581750.805,factory/line1/dev02,47.58,1.04,1473.9
1786581750.805,factory/line2/dev01,47.13,0.88,1498.3
1786581751.305,factory/line1/dev01,46.74,0.99,1514.9
1786581751.305,factory/line1/dev02,45.94,0.98,1481.7
1786581751.305,factory/line2/dev01,46.97,0.98,1515.1
1786581751.805,factory/line1/dev01,59.67,2.38,1524.9
1786581751.805,factory/line1/dev02,45.23,1.00,1495.6
1786581751.805,factory/line2/dev01,46.18,0.97,1493.0
1786581752.305,factory/line1/dev01,46.19,0.83,1516.7
1786581752.305,factory/line1/dev02,44.44,1.04,1513.3
1786581752.305,factory/line2/dev01,47.11,0.97,1517.2
1786581752.805,factory/line1/dev01,45.90,0.94,1482.9
1786581752.805,factory/line1/dev02,47.03,1.02,1477.6
1786581752.805,factory/line2/dev01,46.79,1.04,1487.5
1786581753.305,factory/line1/dev01,47.71,0.77,1519.1
1786581753.305,factory/line1/dev02,55.02,2.37,1529.4
1786581753.305,factory/line2/dev01,46.56,0.77,1507.3
1786581753.805,factory/line1/dev01,55.31,2.56,1514.1
1786581753.805,factory/line1/dev02,45.50,0.91,1521.2
1786581753.805,factory/line2/dev01,47.00,1.06,1491.2
1786581754.305,factory/line1/dev01,43.45,1.01,1503.9
1786581754.305,factory/line1/dev02,47.13,1.01,1524.0
1786581754.305,factory/line2/dev01,43.99,0.94,1499.2
1786581754.805,factory/line1/dev01,44.59,1.05,1491.5
1786581754.805,factory/line1/dev02,44.45,1.00,1478.3
1786581754.805,factory/line2/dev01,46.85,0.89,1525.2
1786581755.305,factory/line1/dev01,47.93,1.03,1482.8
1786581755.305,factory/line1/dev02,43.64,0.87,1503.5
1786581755.305,factory/line2/dev01,44.46,0.95,1522.8
1786581755.805,factory/line1/dev01,45.39,1.10,1515.2
1786581755.805,factory/line1/dev02,47.89,0.92,1520.1
1786581755.805,factory/line2/dev01,56.01,2.46,1472.7
1786581756.305,factory/line1/dev01,44.12,1.10,1490.8
1786581756.305,factory/line1/dev02,47.10,1.03,1478.8
1786581756.305,factory/line2/dev01,44.71,0.80,1484.6
1786581756.805,factory/line1/dev01,44.71,0.85,1506.1
1786581756.805,factory/line1/dev02,46.76,0.91,1470.1
1786581756.805,factory/line2/dev01,46.88,0.76,1491.7
1786581757.305,factory/line1/dev01,46.63,0.82,1498.3
1786581757.305,factory/line1/dev02,59.96,2.54,1501.1
1786581757.305,factory/line2/dev01,46.55,0.92,1520.0
1786581757.805,factory/line1/dev01,44.94,1.06,1517.1
1786581757.805,factory/line1/dev02,46.06,0.74,1496.1
1786581757.805,factory/line2/dev01,44.81,0.78,1519.1
1786581758.305,factory/line1/dev01,45.51,1.05,1482.5
1786581758.305,factory/line1/dev02,43.03,0.93,1476.2
1786581758.305,factory/line2/dev01,46.51,0.70,1485.2
1786581758.805,factory/line1/dev01,47.71,0.96,1497.4
1786581758.805,factory/line1/dev02,46.47,0.88,1503.2
1786581758.805,factory/line2/dev01,46.83,0.95,1505.6
1786581759.305,factory/line1/dev01,47.75,0.99,1498.5
1786581759.305,factory/line1/dev02,43.90,0.84,1507.2
1786581759.305,factory/line2/dev01,47.05,1.00,1483.8
1786581759.805,factory/line1/dev01,45.21,0.97,1494.9
1786581759.805,factory/line1/dev02,44.25,1.05,1526.6
1786581759.805,factory/line2/dev01,46.79,1.03,1494.4
1786581760.305,factory/line1/dev01,45.52,0.84,1486.3
1786581760.305,factory/line1/dev02,44.20,0.89,1507.5
1786581760.305,factory/line2/dev01,45.05,0.74,1491.9
1786581760.805,factory/line1/dev01,47.77,0.84,1528.0
1786581760.805,factory/line1/dev02,43.54,0.97,1514.6
1786581760.805,factory/line2/dev01,45.34,0.77,1508.7
1786581761.305,factory/line1/dev01,46.85,1.08,1502.1
1786581761.305,factory/line1/dev02,43.59,0.94,1470.2
1786581761.305,factory/line2/dev01,47.17,0.75,1474.4
1786581761.805,factory/line1/dev01,43.35,0.76,1504.5
1786581761.805,factory/line1/dev02,43.96,0.88,1523.8
1786581761.805,factory/line2/dev01,45.84,0.77,1513.3
1786581762.305,factory/line1/dev01,46.27,1.02,1477.4
1786581762.305,factory/line1/dev02,45.85,0.89,1500.6
1786581762.305,factory/line2/dev01,47.24,0.91,1488.9
1786581762.805,factory/line1/dev01,46.93,1.02,1494.9
1786581762.805,factory/line1/dev02,44.38,0.98,1519.6
1786581762.805,factory/line2/dev01,45.01,0.91,1502.8
1786581763.305,factory/line1/dev01,46.20,0.89,1509.2
1786581763.305,factory/line1/dev02,44.68,1.02,1471.3
1786581763.305,factory/line2/dev01,43.12,1.10,1528.4
1786581763.805,factory/line1/dev01,45.54,0.96,1487.7
1786581763.805,factory/line1/dev02,45.24,0.91,1476.4
1786581763.805,factory/line2/dev01,44.08,0.75,1477.1
1786581764.305,factory/line1/dev01,45.57,0.71,1497.5
1786581764.305,factory/line1/dev02,47.60,0.77,1481.6
1786581764.305,factory/line2/dev01,44.28,0.93,1471.0
1786581764.805,factory/line1/dev01,44.82,1.07,1488.1
1786581764.805,factory/line1/dev02,45.76,0.99,1524.9
1786581764.805,factory/line2/dev01,43.22,0.94,1498.2
1786581765.305,factory/line1/dev01,44.20,0.76,1488.4
1786581765.305,factory/line1/dev02,43.04,0.89,1482.6
1786581765.305,factory/line2/dev01,47.96,1.07,1481.7
1786581765.805,factory/line1/dev01,46.99,0.72,1516.7
1786581765.805,factory/line1/dev02,44.94,0.82,1488.7
1786581765.805,factory/line2/dev01,43.64,0.78,1475.1
1786581766.305,factory/line1/dev01,57.00,2.44,1477.0
1786581766.305,factory/line1/dev02,43.60,0.98,1473.9
1786581766.305,factory/line2/dev01,57.06,2.53,1477.8
1786581766.805,factory/line1/dev01,46.54,1.09,1512.9
1786581766.805,factory/line1/dev02,45.62,0.94,1471.9
1786581766.805,factory/line2/dev01,47.79,0.88,1523.6
1786581767.305,factory/line1/dev01,45.03,0.99,1489.6
1786581767.305,factory/line1/dev02,46.69,0.94,1481.4
1786581767.305,factory/line2/dev01,43.40,0.98,1518.3
